Name,Latitude,Longitude,Incorportation_date,pop_april_1980,pop_april_1990,pop_april_2000,pop_april_2010,area-km2
Westmorland,33.037267,-115.621383,1886,4777,5988,6220,6166,54
Wheatland,39.009894,-121.423014,1898,2652,4639,6125,6624,41
Whittier,33.979178,-118.032844,1941,4343,5678,6651,7279,60
Wildomar,33.598914,-117.280036,1871,30235,39802,49151,55468,78
Williams,39.154614,-122.149419,1956,5291,5035,5352,5287,100
Willits,39.409608,-123.355567,1967,28254,52422,58918,64234,99
Willows,39.524325,-122.193592,1965,2893,3259,3297,2933,47
Winters,38.524906,-121.970803,1857,5916,6948,7290,7765,11
Woodlake,36.413561,-119.098717,1908,18736,27437,36758,64925,99
Woodland,38.678517,-121.773297,1989,,32824,41207,51367,13
Yorba Linda,33.888625,-117.813111,,,,,,81
Yreka,41.735419,-122.634472,,,,,,44
Yuba City,39.140447,-121.616911,,,,,,2
Yucaipa,34.033625,-117.043086,,,,,,2
